1632276016633290600,1260 0,1919 0,1919 1067,1260 1067,
1632276016700174600,1265 0,1919 0,1919 1070,1265 1070,
1632276016767027600,1266 1,1911 1,1911 1068,1266 1068,
1632276016834040600,1264 3,1902 3,1902 1062,1264 1062,
1632276016900787600,1264 0,1917 0,1917 1075,1264 1075,
1632276016967629600,1271 2,1913 2,1913 1068,1271 1068,
1632276017034752600,1270 7,1906 7,1906 1062,1270 1062,
1632276017101358600,1260 7,1912 7,1912 1066,1260 1066,
1632276017168352600,1276 0,1917 0,1917 1064,1276 1064,
1632276017235372600,1248 2,1916 2,1916 1060,1248 1060,
1632276017302354600,1223 0,1912 0,1912 1058,1223 1058,
1632276017369138600,1209 0,1916 0,1916 1071,1209 1071,
1632276017436032600,1202 0,1916 0,1916 1078,1202 1078,
1632276017502974600,1205 5,1916 5,1916 1079,1205 1079,
1632276017569915600,1228 0,1916 0,1916 1068,1228 1068,
1632276017636669600,1282 0,1916 0,1916 1069,1282 1069,
1632276017703663600,1401 0,1916 0,1916 1062,1401 1062,
1632276017770314600,1456 0,1916 0,1916 1068,1456 1068,
1632276017837434600,1534 0,1916 0,1916 1070,1534 1070,
1632276017837434600,1502 358,1754 358,1754 1071,1502 1071,
1632276017937740600,1641 81,1916 81,1916 1076,1641 1076,
1632276017937740600,1453 458,1797 458,1797 1076,1453 1076,
1632276018004572600,1709 74,1916 74,1916 1079,1709 1079,
1632276018004572600,1467 461,1787 461,1787 1079,1467 1079,
1632276018105082600,1769 86,1919 86,1919 1071,1769 1071,
1632276018105082600,1512 675,1905 675,1905 1076,1512 1076,
1632276018105082600,1471 502,1682 502,1682 804,1471 804,
1632276018171918600,1420 588,1692 588,1692 1075,1420 1075,
1632276018238805600,1409 803,1695 803,1695 1076,1409 1076,
1632276018238805600,1395 627,1597 627,1597 920,1395 920,
1632276018305681600,1750 223,1916 223,1916 1076,1750 1076,
1632276018305681600,1325 618,1527 618,1527 912,1325 912,
1632276018406122600,1684 255,1912 255,1912 1079,1684 1079,
1632276018406122600,1229 631,1484 631,1484 1079,1229 1079,
1632276018472963600,1644 298,1910 298,1910 1079,1644 1079,
1632276018472963600,1171 652,1396 652,1396 1074,1171 1074,
1632276018539933600,1601 292,1916 292,1916 1076,1601 1076,
1632276018539933600,1121 627,1359 627,1359 1070,1121 1070,
1632276018606714600,1595 201,1917 201,1917 1074,1595 1074,
1632276018606714600,740 919,849 919,849 1076,740 1076,
1632276018606714600,1132 545,1374 545,1374 1055,1132 1055,
1632276018673805600,1631 126,1916 126,1916 1075,1631 1075,
1632276018673805600,1167 646,1453 646,1453 1076,1167 1076,
1632276018673805600,1153 501,1395 501,1395 957,1153 957,
1632276018740767600,1613 78,1919 78,1919 1077,1613 1077,
1632276018740767600,1163 476,1432 476,1432 1064,1163 1064,
1632276018807573600,1617 76,1916 76,1916 1079,1617 1079,
1632276018807573600,1160 464,1421 464,1421 1067,1160 1067,
1632276018874497600,1634 82,1916 82,1916 1079,1634 1079,
1632276018874497600,1167 466,1432 466,1432 1079,1167 1079,
1632276018941244600,1657 102,1913 102,1913 1066,1657 1066,
1632276018941244600,1145 484,1426 484,1426 1076,1145 1076,
1632276019008111600,1639 142,1916 142,1916 1075,1639 1075,
1632276019008111600,1101 514,1388 514,1388 1076,1101 1076,
1632276019075192600,1615 147,1916 147,1916 1078,1615 1078,
1632276019075192600,1057 511,1330 511,1330 1076,1057 1076,
1632276019142150600,1584 153,1916 153,1916 1079,1584 1079,
1632276019142150600,956 519,1275 519,1275 1079,956 1079,
1632276019209050600,1577 158,1909 158,1909 1079,1577 1079,
1632276019209050600,1167 646,1453 646,1453 1076,1167 1076,
1632276019209050600,915 521,1225 521,1225 1079,915 1079,
