1632340932818372914,464 0,1632 0,1632 531,464 531,
1632340932885282914,537 0,1635 0,1635 533,537 533,
1632340932952280914,603 0,1635 0,1635 533,603 533,
1632340933019022914,549 0,1632 0,1632 533,549 533,
1632340933085879914,564 0,1630 0,1630 533,564 533,
1632340933153076914,564 0,1631 0,1631 532,564 532,
1632340933219967914,567 0,1633 0,1633 531,567 531,
1632340933286768914,576 0,1633 0,1633 530,576 530,
1632340933353737914,535 0,1632 0,1632 530,535 530,
1632340933420350914,770 0,1632 0,1632 528,770 528,
1632340933487478914,794 0,1633 0,1633 527,794 527,
1632340933554336914,799 0,1632 0,1632 526,799 526,
1632340933621207914,815 0,1632 0,1632 526,815 526,
1632340933688044914,851 0,1630 0,1630 526,851 526,
1632340933755138914,827 0,1629 0,1629 526,827 526,
1632340933821920914,504 0,1630 0,1630 530,504 530,
1632340933888959914,445 0,1629 0,1629 533,445 533,
1632340933955453914,443 0,1629 0,1629 532,443 532,
1632340934022680914,799 0,1627 0,1627 530,799 530,
1632340934089612914,797 0,1626 0,1626 529,797 529,
1632340934156565914,793 0,1627 0,1627 528,793 528,
1632340934223358914,787 0,1626 0,1626 527,787 527,
1632340934290205914,832 0,1624 0,1624 527,832 527,
1632340934357034914,568 0,1622 0,1622 527,568 527,
1632340934424075914,486 0,1620 0,1620 528,486 528,
1632340934491048914,527 0,1618 0,1618 528,527 528,
1632340934557825914,546 0,1620 0,1620 527,546 527,
1632340934624689914,549 0,1622 0,1622 527,549 527,
1632340934691612914,520 0,1622 0,1622 527,520 527,
1632340934758545914,469 0,1623 0,1623 528,469 528,
1632340934825582914,421 0,1625 0,1625 530,421 530,
1632340934892340914,376 0,1628 0,1628 536,376 536,
1632340934959176914,373 0,1633 0,1633 537,373 537,
1632340935026182914,721 0,1630 0,1630 534,721 534,
1632340935093186914,724 0,1625 0,1625 530,724 530,
1632340935160026914,654 0,1620 0,1620 527,654 527,
1632340935226881914,739 0,1614 0,1614 526,739 526,
1632340935293571914,740 0,1614 0,1614 526,740 526,
1632340935360692914,742 0,1617 0,1617 526,742 526,
1632340935427529914,745 0,1619 0,1619 527,745 527,
1632340935494582914,748 0,1619 0,1619 527,748 527,
1632340935561324914,713 0,1621 0,1621 527,713 527,
1632340935628158914,739 0,1622 0,1622 527,739 527,
1632340935695100914,722 0,1622 0,1622 526,722 526,
1632340935762011914,738 0,1622 0,1622 526,738 526,
1632340935829014914,755 0,1621 0,1621 527,755 527,
1632340935895772914,703 0,1623 0,1623 527,703 527,
1632340935962670914,526 0,1622 0,1622 531,526 531,
1632340936029516914,447 0,1622 0,1622 532,447 532,
1632340936096676914,442 0,1621 0,1621 531,442 531,
1632340936163557914,486 0,1622 0,1622 530,486 530,
1632340936230354914,480 0,1623 0,1623 529,480 529,
1632340936297186914,793 0,1624 0,1624 527,793 527,
1632340936364113914,781 0,1624 0,1624 526,781 526,
1632340936431174914,786 0,1622 0,1622 525,786 525,
1632340936498104914,837 0,1622 0,1622 526,837 526,
1632340936564694914,839 0,1621 0,1621 527,839 527,
1632340936631767914,605 0,1619 0,1619 526,605 526,
1632340936698776914,492 0,1618 0,1618 526,492 526,
1632340936765574914,519 0,1618 0,1618 527,519 527,
1632340936832506914,527 0,1619 0,1619 528,527 528,
1632340936899238914,542 0,1620 0,1620 528,542 528,
1632340936966276914,558 0,1621 0,1621 528,558 528,
1632340937033322914,564 0,1620 0,1620 528,564 528,
1632340937100162914,540 0,1616 0,1616 529,540 529,
1632340937167201914,533 0,1609 0,1609 528,533 528,
1632340937233656914,525 0,1602 0,1602 527,525 527,
1632340937300653914,512 0,1597 0,1597 526,512 526,
1632340937367774914,466 0,1595 0,1595 526,466 526,
1632340937434636914,418 0,1596 0,1596 526,418 526,
1632340937501580914,394 1,1596 1,1596 527,394 527,
1632340937568218914,654 1,1600 1,1600 526,654 526,
1632340937635146914,370 0,1603 0,1603 525,370 525,
1632340937702171914,389 0,1612 0,1612 525,389 525,
1632340937769124914,445 0,1613 0,1613 525,445 525,
1632340937836007914,495 0,1610 0,1610 526,495 526,
1632340937902728914,530 0,1607 0,1607 528,530 528,
1632340937969850914,541 0,1601 0,1601 528,541 528,
1632340938036652914,540 3,1576 3,1576 526,540 526,
1632340938103682914,538 3,1565 3,1565 523,538 523,
1632340938170453914,522 1,1563 1,1563 520,522 520,
1632340938237166914,394 0,1565 0,1565 524,394 524,
1632340938304188914,308 0,1558 0,1558 520,308 520,
1632340938371428914,312 0,1555 0,1555 517,312 517,
1632340938438246914,300 0,1543 0,1543 516,300 516,
1632340938505071914,302 0,1537 0,1537 515,302 515,
1632340938571902914,354 0,1528 0,1528 514,354 514,
1632340938638842914,495 0,1521 0,1521 514,495 514,
1632340938705725914,303 0,1519 0,1519 513,303 513,
1632340938772503914,249 0,1516 0,1516 512,249 512,
1632340938839399914,308 0,1518 0,1518 512,308 512,
1632340938906454914,265 0,1519 0,1519 513,265 513,
1632340938973511914,551 0,1526 0,1526 515,551 515,
1632340939040260914,302 0,1533 0,1533 517,302 517,
1632340939107170914,277 0,1539 0,1539 518,277 518,
1632340939174007914,284 0,1541 0,1541 519,284 519,
1632340939240899914,281 0,1541 0,1541 519,281 519,
1632340939307894914,450 0,1539 0,1539 519,450 519,
1632340939374772914,320 0,1539 0,1539 519,320 519,
1632340939441627914,408 0,1537 0,1537 519,408 519,
1632340939508540914,416 0,1537 0,1537 520,416 520,
1632340939575426914,441 0,1539 0,1539 519,441 519,
1632340939642523914,325 0,1540 0,1540 520,325 520,
1632340939709289914,297 0,1540 0,1540 520,297 520,
1632340939776028914,541 0,1539 0,1539 519,541 519,
1632340939842795914,301 0,1538 0,1538 519,301 519,
1632340939909809914,565 0,1537 0,1537 518,565 518,
1632340939976842914,566 0,1537 0,1537 517,566 517,
1632340940043663914,528 0,1538 0,1538 517,528 517,
1632340940110654914,487 0,1537 0,1537 518,487 518,
1632340940177454914,482 0,1536 0,1536 519,482 519,
1632340940244391914,376 0,1534 0,1534 519,376 519,
1632340940311488914,457 0,1529 0,1529 518,457 518,
1632340940378204914,469 0,1523 0,1523 519,469 519,
1632340940445064914,477 0,1519 0,1519 518,477 518,
1632340940511997914,577 0,1515 0,1515 517,577 517,
1632340940578911914,779 0,1511 0,1511 515,779 515,
1632340940645828914,556 0,1508 0,1508 513,556 513,
1632340940712736914,789 0,1507 0,1507 513,789 513,
1632340940779617914,794 0,1509 0,1509 513,794 513,
1632340940846536914,559 2,1513 2,1513 514,559 514,
1632340940913490914,795 0,1516 0,1516 515,795 515,
1632340940980273914,798 0,1517 0,1517 515,798 515,
1632340941047357914,803 0,1519 0,1519 515,803 515,
1632340941114100914,807 0,1520 0,1520 516,807 516,
1632340941181044914,808 0,1520 0,1520 515,808 515,
1632340941248094914,797 0,1517 0,1517 515,797 515,
1632340941248094914,1508 373,1574 373,1574 518,1508 518,
1632340941314769914,801 1,1516 1,1516 515,801 515,
1632340941381768914,799 1,1514 1,1514 514,799 514,
1632340941448574914,801 0,1516 0,1516 515,801 515,
1632340941515519914,800 0,1517 0,1517 515,800 515,
1632340941582601914,799 0,1515 0,1515 514,799 514,
1632340941582601914,1 295,1224 295,1224 677,1 677,
1632340941682857914,511 1,1512 1,1512 515,511 515,
1632340941682857914,2 299,1224 299,1224 677,2 677,
1632340941749803914,274 1,1506 1,1506 516,274 516,
1632340941749803914,3 301,1224 301,1224 677,3 677,
1632340941820672914,762 0,1502 0,1502 514,762 514,
1632340941820672914,2 300,1223 300,1223 676,2 676,
1632340941883555914,767 0,1498 0,1498 513,767 513,
1632340941883555914,1 299,1222 299,1222 676,1 676,
1632340941950263914,761 0,1499 0,1499 515,761 515,
1632340941950263914,2 301,1223 301,1223 676,2 676,
1632340942017347914,758 0,1505 0,1505 516,758 516,
1632340942017347914,1 299,1222 299,1222 675,1 675,
1632340942085762914,753 0,1510 0,1510 515,753 515,
1632340942085762914,1 301,1222 301,1222 676,1 676,
1632340942151140914,754 0,1510 0,1510 514,754 514,
1632340942151140914,0 301,1221 301,1221 676,0 676,
1632341055181057262,729 0,1552 0,1552 512,729 512,
1632341055248138262,727 0,1555 0,1555 512,727 512,
1632341055314818262,731 0,1554 0,1554 512,731 512,
1632341055381776262,732 0,1554 0,1554 512,732 512,
1632341055448860262,731 0,1553 0,1553 512,731 512,
1632341055515834262,727 0,1552 0,1552 512,727 512,
1632341055582474262,730 0,1551 0,1551 512,730 512,
1632341055649240262,733 0,1550 0,1550 512,733 512,
1632341055716307262,730 0,1549 0,1549 511,730 511,
1632341055783246262,727 0,1547 0,1547 511,727 511,
1632341055850182262,720 0,1545 0,1545 511,720 511,
1632341055916974262,725 0,1544 0,1544 511,725 511,
1632341055983875262,722 0,1543 0,1543 511,722 511,
1632341056050836262,722 0,1543 0,1543 512,722 512,
1632341056117663262,723 0,1544 0,1544 512,723 512,
1632341056184623262,724 0,1543 0,1543 513,724 513,
1632341056251501262,722 0,1544 0,1544 512,722 512,
1632341056318482262,720 0,1545 0,1545 512,720 512,
1632341056385290262,724 0,1546 0,1546 513,724 513,
1632341056452207262,724 0,1545 0,1545 512,724 512,
