"timestamp","framerate","ID","Label","Tracking State","Action State","Position","Velocity","Dimensions","Detection Confidence","Camera_Translation","Camera_Orientation"
"1632273685518507086","29.9401","1","Person","OK","IDLE","-0.0506369 0.125522 -0.552256","-0.00226987 -0.0939091 0.0781272","0.499897 0.280283 0.499897","90.7326","0 0 0","0 0 0 1"
"1632273685585629086","29.5858","1","Person","OK","IDLE","-0.0510581 0.126449 -0.552341","0.0379737 0.0578186 -0.0269024","0.499906 0.280549 0.499906","76.259","0 0 0","0 0 0 1"
"1632273685652418086","29.6736","1","Person","OK","IDLE","-0.0517522 0.127535 -0.551971","-0.011662 -0.00261836 -0.00084215","0.499918 0.28064 0.499918","68.9634","0 0 0","0 0 0 1"
"timestamp","framerate","ID","Label","Tracking State","Action State","Position","Velocity","Dimensions","Detection Confidence","Camera_Translation","Camera_Orientation"
"1632276016298832600","1.84502","1","Person","OFF","IDLE","0.269081 0.0626489 -0.536295","-0.295225 0.302619 -0.112775","0.476148 0.54462 0.476148","90.8825","0 0 0","0 0 0 1"
"1632276016432534600","4.7619","1","Person","OK","MOVING","0.290399 0.00892058 -0.452115","-0.0884579 0.136781 0.448593","0.467216 0.511657 0.467216","90.0502","0 0 0","0 0 0 1"
"1632276016499423600","7.06215","1","Person","OK","MOVING","0.296192 -0.00737629 -0.420029","-0.009363 -0.163149 0.303422","0.470302 0.505718 0.470302","87.912","0 0 0","0 0 0 1"
"1632276016566238600","9.04393","1","Person","OK","IDLE","0.300021 -0.00992435 -0.416824","0.0481643 -0.056291 0.209235","0.476527 0.506126 0.476527","92.0753","0 0 0","0 0 0 1"
"1632276016633290600","10.7399","1","Person","OK","IDLE","0.302017 -0.0102022 -0.4244","0.0265339 -0.0736168 0.116376","0.482973 0.507093 0.482973","92.5058","0 0 0","0 0 0 1"
"1632276016700174600","27.4725","1","Person","OK","IDLE","0.302977 -0.00551477 -0.434615","0.00687334 0.0299745 0.0668249","0.486271 0.506738 0.486271","92.8112","0 0 0","0 0 0 1"
"1632276016767027600","29.3255","1","Person","OK","IDLE","0.302815 -0.00154399 -0.445231","-0.03906 0.0216754 -0.0380159","0.488515 0.50717 0.488516","93.1216","0 0 0","0 0 0 1"
"1632276016834040600","30.3951","1","Person","OK","IDLE","0.302945 0.000265894 -0.452993","-0.0186418 0.0126305 -0.021866","0.487414 0.506471 0.487414","92.4204","0 0 0","0 0 0 1"
"1632276016900787600","30.3951","1","Person","OK","IDLE","0.302423 -0.000511097 -0.457074","-0.00876531 -0.146992 -0.0345232","0.486743 0.509475 0.486743","92.3756","0 0 0","0 0 0 1"
"1632276016967629600","30.1205","1","Person","OK","IDLE","0.301282 0.00189521 -0.459296","-0.0101376 -0.0408782 -0.0154271","0.484544 0.511712 0.484544","93.2089","0 0 0","0 0 0 1"
"1632276017034752600","30.2115","1","Person","OK","IDLE","0.300467 -0.000335738 -0.459135","0.0101486 -0.0324359 -0.0314613","0.482397 0.512535 0.482397","91.3072","0 0 0","0 0 0 1"
"1632276017101358600","30.03","1","Person","OK","IDLE","0.301134 -0.00700892 -0.455643","0.0344498 -0.0851885 -0.00615309","0.481314 0.511845 0.481314","92.0982","0 0 0","0 0 0 1"
"1632276017168352600","29.8507","1","Person","OK","IDLE","0.30464 -0.00455355 -0.453376","0.121961 0.199632 0.00135469","0.480306 0.514028 0.480306","92.871","0 0 0","0 0 0 1"
"1632276017235372600","29.8507","1","Person","OK","IDLE","0.308758 0.012879 -0.443656","0.0742892 0.55558 0.198277","0.475011 0.5124 0.475011","93.4137","0 0 0","0 0 0 1"
"1632276017302354600","29.8507","1","Person","OK","IDLE","0.303344 0.0224271 -0.42691","-0.0130346 0.273873 0.290157","0.471939 0.509543 0.471939","93.493","0 0 0","0 0 0 1"
"1632276017369138600","29.8507","1","Person","OK","IDLE","0.291674 0.0183985 -0.418198","-0.0730428 -0.0653875 0.170994","0.471553 0.503082 0.471553","91.083","0 0 0","0 0 0 1"
"1632276017436032600","29.8507","1","Person","OK","IDLE","0.285167 0.0136595 -0.414846","-0.066567 -0.0755336 0.14813","0.470793 0.496637 0.470793","85.6236","0 0 0","0 0 0 1"
"1632276017502974600","30.03","1","Person","OK","IDLE","0.282424 0.0109963 -0.416984","0.0383492 -0.108175 0.11315","0.471988 0.493408 0.471988","86.2318","0 0 0","0 0 0 1"
"1632276017569915600","29.9401","1","Person","OK","IDLE","0.287335 -0.000174143 -0.425166","0.272672 -0.323517 0.10508","0.475264 0.48994 0.475264","91.5414","0 0 0","0 0 0 1"
"1632276017636669600","29.9401","1","Person","OK","IDLE","0.297234 -0.0253078 -0.437176","0.336553 -0.756694 0.20672","0.479868 0.485181 0.479868","88.7245","0 0 0","0 0 0 1"
"1632276017703663600","29.9401","1","Person","OK","IDLE","0.308003 -0.055673 -0.446157","0.292432 -0.941987 0.335444","0.488051 0.483609 0.488051","63.2039","0 0 0","0 0 0 1"
"1632276017770314600","30.03","1","Person","OK","IDLE","0.3227 -0.0811388 -0.451691","0.344834 -0.931167 0.672726","0.500817 0.491552 0.500817","53.9247","0 0 0","0 0 0 1"
"1632276017837434600","29.9401","1","Person","OK","IDLE","0.339848 -0.100043 -0.456385","0.282051 -0.991704 0.68888","0.515545 0.503999 0.515545","73.6226","0 0 0","0 0 0 1"
"1632276017837434600","29.9401","2","Person","OFF","IDLE","nan nan nan","nan nan nan","0 0 0","84.2757","0 0 0","0 0 0 1"
"1632276017937740600","28.2486","1","Person","OK","IDLE","0.363245 -0.135835 -0.461421","-0.108011 -0.392826 0.423344","0.518584 0.499098 0.518584","80.0641","0 0 0","0 0 0 1"
"1632276017937740600","28.2486","3","Person","OFF","IDLE","1.03519 -0.402473 -1.96419","-0.693872 -1.46922 0.0829676","0.632714 1.154 0.632714","90.467","0 0 0","0 0 0 1"
"1632276018004572600","27.1739","1","Person","OK","IDLE","0.394943 -0.142118 -0.469303","0.295884 -0.0365102 0.656404","0.514918 0.490336 0.514918","71.5307","0 0 0","0 0 0 1"
"1632276018004572600","27.1739","3","Person","OFF","MOVING","1.3241 -0.28694 -1.84993","0.674568 -0.416335 -0.316786","0.622623 1.15757 0.622624","85.4743","0 0 0","0 0 0 1"
"1632276018105082600","24.9377","1","Person","OK","IDLE","0.428631 -0.127175 -0.478588","0.149135 0.194402 0.414302","0.520824 0.495715 0.520824","57.415","0 0 0","0 0 0 1"
