1632273621895725588,323 0,1665 0,1665 541,323 541,
1632273621962566588,330 4,1664 4,1664 540,330 540,
1632273622029710588,326 1,1667 1,1667 537,326 537,
1632273622096457588,315 3,1679 3,1679 544,315 544,
1632273622163433588,310 0,1683 0,1683 543,310 543,
1632273622230192588,308 0,1681 0,1681 541,308 541,
1632273622297143588,307 0,1672 0,1672 539,307 539,
1632273622363997588,307 0,1661 0,1661 537,307 537,
1632273622431037588,307 0,1623 0,1623 537,307 537,
1632273622497913588,311 0,1570 0,1570 538,311 538,
1632273622564533588,317 0,1504 0,1504 538,317 538,
1632273622631621588,324 0,1403 0,1403 540,324 540,
1632273622698602588,329 0,1348 0,1348 542,329 542,
1632273622765662588,333 0,1308 0,1308 543,333 543,
1632273622832319588,337 0,1295 0,1295 542,337 542,
1632273622899352588,338 1,1314 1,1314 541,338 541,
1632273622966006588,340 1,1369 1,1369 542,340 542,
1632273623033010588,339 3,1467 3,1467 546,339 546,
1632273623100154588,336 4,1581 4,1581 546,336 546,
1632273623166907588,342 0,1628 0,1628 542,342 542,
1632273623233832588,344 0,1639 0,1639 539,344 539,
1632273623300876588,348 0,1667 0,1667 538,348 538,
1632273623367673588,369 11,1691 11,1691 538,369 538,
1632273623434577588,364 6,1705 6,1705 538,364 538,
1632273623501158588,361 3,1689 3,1689 538,361 538,
1632273623568369588,352 2,1633 2,1633 538,352 538,
1632273623635104588,347 0,1564 0,1564 540,347 540,
1632273623702244588,342 0,1325 0,1325 538,342 538,
1632273623768882588,340 0,1274 0,1274 538,340 538,
1632273623835710588,344 0,1205 0,1205 537,344 537,
1632273623902762588,343 0,1193 0,1193 539,343 539,
1632273623969713588,343 0,1192 0,1192 540,343 540,
1632273624036599588,342 0,1197 0,1197 540,342 540,
1632273624103387588,340 0,1207 0,1207 540,340 540,
1632273624170391588,351 0,1216 0,1216 539,351 539,
1632273624237291588,319 0,1221 0,1221 538,319 538,
1632273624304257588,313 0,1225 0,1225 539,313 539,
1632273624371093588,297 0,1225 0,1225 539,297 539,
1632273624438006588,407 0,1226 0,1226 538,407 538,
1632273624504699588,304 0,1228 0,1228 539,304 539,
1632273624571779588,509 0,1231 0,1231 540,509 540,
1632273624638891588,507 0,1232 0,1232 541,507 541,
1632273624705602588,506 0,1233 0,1233 540,506 540,
1632273624772455588,507 0,1231 0,1231 540,507 540,
1632273624839239588,506 0,1227 0,1227 540,506 540,
1632273624906294588,512 0,1223 0,1223 539,512 539,
1632273624973297588,264 0,1218 0,1218 539,264 539,
1632273625040079588,260 0,1217 0,1217 539,260 539,
1632273625107116588,256 0,1214 0,1214 538,256 538,
1632273625173767588,228 0,1209 0,1209 539,228 539,
1632273625240839588,512 0,1201 0,1201 539,512 539,
1632273625307728588,516 0,1197 0,1197 539,516 539,
1632273625374633588,516 0,1196 0,1196 540,516 540,
1632273625441538588,516 0,1196 0,1196 539,516 539,
1632273625508564588,515 0,1196 0,1196 539,515 539,
1632273625575189588,513 0,1196 0,1196 539,513 539,
1632273625642331588,513 0,1197 0,1197 539,513 539,
1632273625709203588,513 0,1197 0,1197 539,513 539,
1632273625775801588,512 0,1197 0,1197 540,512 540,
1632273625842736588,511 0,1197 0,1197 539,511 539,
1632273625909962588,512 0,1197 0,1197 539,512 539,
1632273625976762588,512 0,1197 0,1197 539,512 539,
1632273626043645588,511 0,1196 0,1196 538,511 538,
1632273626110304588,511 0,1197 0,1197 539,511 539,
1632273626177354588,511 0,1198 0,1198 540,511 540,
1632273626244386588,511 0,1199 0,1199 540,511 540,
1632273626311285588,511 0,1199 0,1199 540,511 540,
1632273626378220588,512 0,1200 0,1200 540,512 540,
1632273626444789588,513 0,1200 0,1200 540,513 540,
1632273626511896588,513 0,1201 0,1201 541,513 541,
1632273626579057588,513 0,1200 0,1200 541,513 541,
1632273626645825588,513 0,1200 0,1200 541,513 541,
1632273626712540588,513 0,1201 0,1201 540,513 540,
1632273626779523588,513 0,1201 0,1201 539,513 539,
1632273626846275588,513 0,1202 0,1202 539,513 539,
1632273626913337588,513 0,1203 0,1203 539,513 539,
1632273626980258588,513 0,1202 0,1202 539,513 539,
1632273627047107588,513 0,1203 0,1203 539,513 539,
1632273627113791588,513 0,1204 0,1204 540,513 540,
1632273627181008588,513 0,1204 0,1204 540,513 540,
1632273627247864588,513 0,1203 0,1203 539,513 539,
1632273627314886588,513 0,1201 0,1201 539,513 539,
1632273627381559588,513 0,1202 0,1202 539,513 539,
1632273627448459588,514 0,1204 0,1204 539,514 539,
1632273627515280588,514 0,1204 0,1204 539,514 539,
1632273627582423588,514 0,1203 0,1203 538,514 538,
1632273627649305588,516 0,1202 0,1202 538,516 538,
1632273627716080588,518 0,1200 0,1200 536,518 536,
1632273627783016588,519 0,1200 0,1200 536,519 536,
1632273627849900588,523 0,1199 0,1199 535,523 535,
1632273627916873588,524 0,1198 0,1198 538,524 538,
1632273627983754588,523 0,1195 0,1195 539,523 539,
