"timestamp","framerate","ID","Label","Tracking State","Action State","Position","Velocity","Dimensions","Detection Confidence"
"1606220904816202661","15.083","0","Person","OFF","IDLE","-0.406045 0.0125318 -0.602139","2.12501 -0.836998 -0.5517","0.5 0.507791 0.5","47.4796"
"1606220904882680661","14.9925","0","Person","OFF","MOVING","-0.342454 -0.0182919 -0.535869","3.37863 -0.147055 0.116203","0.5 0.524664 0.5","61.1131"
"1606220904948841661","14.9925","0","Person","OK","MOVING","-0.28868 -0.0743732 -0.512127","0.997018 -1.13592 0.658098","0.5 0.529323 0.5","40.6879"
"1606220905015407661","14.9254","0","Person","OK","MOVING","-0.237566 -0.158951 -0.452023","0.641253 -1.1901 1.0956","0.5 0.507404 0.5","40.6879"
"1606220905081440661","14.9925","0","Person","OK","MOVING","-0.17554 -0.203307 -0.438557","0.480618 -1.26662 0.818417","0.509777 0.530477 0.509777","75.1153"
"1606220905147858661","14.9477","0","Person","OK","MOVING","-0.169069 -0.226055 -0.42753","-0.280487 -0.705034 0.558469","0.523291 0.507303 0.523291","87.3814"
"1606220905214241661","14.9701","0","Person","OK","MOVING","-0.178885 -0.241555 -0.410567","-0.661133 -0.600182 0.568413","0.532452 0.497612 0.532452","94.8073"
"1606220905280391661","14.9254","0","Person","OK","MOVING","-0.186854 -0.246208 -0.407629","-0.656473 -0.285509 0.241436","0.54341 0.486946 0.54341","94.0123"
"1606220905346849661","14.9477","0","Person","OK","MOVING","-0.191363 -0.247417 -0.40488","-0.5189 -0.229026 0.328297","0.550727 0.481133 0.550728","94.5371"
"1606220905413038661","14.9477","0","Person","OK","IDLE","-0.199758 -0.246035 -0.406076","-0.440901 -0.125418 0.147169","0.55681 0.476123 0.556809","94.5205"
"1606220905479505661","14.9701","0","Person","OK","IDLE","-0.207672 -0.244743 -0.407459","-0.3546 -0.12798 0.20006","0.551741 0.472969 0.551741","90.1909"
"1606220905545531661","15.015","0","Person","OK","IDLE","-0.217407 -0.244988 -0.40839","-0.314802 -0.198486 0.189925","0.546039 0.466413 0.546039","87.0987"
"1606220905611911661","15.0602","0","Person","OK","IDLE","-0.23039 -0.246491 -0.408769","-0.379855 -0.183198 0.222651","0.538448 0.45922 0.538448","86.4136"
"1606220905678302661","15.1057","0","Person","OK","IDLE","-0.243685 -0.249599 -0.408521","-0.344524 -0.192694 0.225139","0.530758 0.449546 0.530758","85.1598"
"1606220905744528661","15.0602","0","Person","OK","IDLE","-0.253121 -0.251088 -0.409392","-0.174177 -0.093838 0.0266727","0.524607 0.442655 0.524607","92.5856"
"1606220905811008661","15.1057","0","Person","OK","IDLE","-0.258683 -0.251169 -0.412667","-0.074842 -0.0597275 -0.0473144","0.519685 0.438653 0.519685","94.7345"
"1606220905877042661","15.083","0","Person","OK","IDLE","-0.261391 -0.249757 -0.417711","-0.0163866 -0.0138686 -0.0813297","0.515748 0.437995 0.515748","95.0009"
"1606220905943539661","15.1057","0","Person","OK","IDLE","-0.262266 -0.243698 -0.424428","0.0259021 0.0762196 -0.115234","0.512599 0.437093 0.512599","94.736"
"1606220906009859661","15.1057","0","Person","OK","IDLE","-0.238795 -0.23606 -0.445712","-0.0743873 0.127411 -0.0599158","0.513699 0.442526 0.513699","95.237"
"1606220906076096661","15.083","0","Person","OK","IDLE","-0.20765 -0.228075 -0.472846","-0.200604 0.135582 -0.014062","0.51966 0.445626 0.51966","94.8943"
"1606220906142491661","15.083","0","Person","OK","IDLE","-0.182954 -0.218264 -0.496966","-0.265347 0.158149 0.0092209","0.529756 0.450063 0.529756","95.0924"
