1606220909987849661,2 183,1488 183,1488 1241,2 1241,
1606220910053992661,16 180,1480 180,1480 1241,16 1241,
1606220910120394661,0 164,1221 164,1221 1226,0 1226,
1606220910186938661,0 109,1274 109,1274 1234,0 1234,
1606220910253212661,3 71,1428 71,1428 1232,3 1232,
1606220910319470661,2 52,1423 52,1423 1238,2 1238,
1606220910385670661,5 32,1411 32,1411 1241,5 1241,
1606220910452090661,4 47,1348 47,1348 1238,4 1238,
1606220910518148661,6 82,1328 82,1328 1238,6 1238,
1606220910584689661,0 69,1293 69,1293 1241,0 1241,
1606220910650930661,0 56,1223 56,1223 1241,0 1241,
1606220910717250661,0 112,999 112,999 1227,0 1227,
1606220910783642661,4 97,1177 97,1177 1230,4 1230,
1606220910849595661,0 155,1229 155,1229 1241,0 1241,
1606220910916180661,3 167,1230 167,1230 1236,3 1236,
1606220910982285661,158 150,1309 150,1309 1111,158 1111,
1606220911048848661,272 113,1399 113,1399 996,272 996,
1606220911115090661,3 2,1205 2,1205 1228,3 1228,
1606220911181267661,2 0,1189 0,1189 1213,2 1213,
1606220911247650661,0 5,1454 5,1454 1170,0 1170,
1606220911313761661,0 0,1378 0,1378 1175,0 1175,
1606220911380299661,0 0,1312 0,1312 1204,0 1204,
1606220911446511661,2 0,1326 0,1326 1219,2 1219,
1606220911512685661,113 0,915 0,915 1210,113 1210,
1606220911579094661,0 0,924 0,924 1231,0 1231,
1606220911645247661,92 0,592 0,592 1241,92 1241,
1606220911711838661,1 6,962 6,962 1232,1 1232,
1606220911777767661,67 1,856 1,856 1241,67 1241,
1606220911844379661,0 2,888 2,888 1196,0 1196,
1606220911910747661,1 12,866 12,866 1182,1 1182,
1606220911977039661,0 15,910 15,910 1170,0 1170,
1606220912043378661,1 34,856 34,856 1174,1 1174,
1606220912109436661,2 28,839 28,839 1199,2 1199,
1606220912175981661,3 51,796 51,796 1238,3 1238,
1606220912639972661,2 103,901 103,901 1207,2 1207,
1606220912706030661,6 0,944 0,944 1221,6 1221,
1606220912772528661,6 0,1003 0,1003 1210,6 1210,
1606220912839031661,0 5,1032 5,1032 1238,0 1238,
1606220912905192661,2 0,1010 0,1010 1214,2 1214,
1606220912971387661,4 0,1218 0,1218 1230,4 1230,
1606220913037738661,0 0,1259 0,1259 1227,0 1227,
1606220913104255661,1 0,1289 0,1289 1233,1 1233,
1606220913170189661,2 0,1284 0,1284 1231,2 1231,
1606220913236761661,5 0,1307 0,1307 1233,5 1233,
1606220913303179661,4 0,1350 0,1350 1234,4 1234,
1606220913369263661,2 0,1387 0,1387 1236,2 1236,
1606220913435637661,0 0,1427 0,1427 1235,0 1235,
1606220913501784661,1 0,1440 0,1440 1229,1 1229,
1606220913568226661,2 0,1440 0,1440 1238,2 1238,
1606220913634330661,3 0,1435 0,1435 1236,3 1236,
1606220913700791661,2 0,1406 0,1406 1226,2 1226,
1606220913767050661,0 0,1423 0,1423 1217,0 1217,
1606220913833527661,2 0,1408 0,1408 1161,2 1161,
1606220913899844661,0 4,1411 4,1411 1162,0 1162,
1606220913966004661,0 7,1420 7,1420 1153,0 1153,
1606220914032461661,9 0,1430 0,1430 1219,9 1219,
1606220914098485661,0 5,1458 5,1458 1210,0 1210,
1606220914164989661,0 5,1507 5,1507 1217,0 1217,
1606220914231195661,4 1,1540 1,1540 1191,4 1191,
1606220914297597661,3 7,1554 7,1554 1205,3 1205,
1606220914363866661,5 0,1542 0,1542 1194,5 1194,
1606220914429892661,2 0,1509 0,1509 1183,2 1183,
1606220914496429661,4 0,1472 0,1472 1218,4 1218,
1606220914562794661,2 0,1379 0,1379 1234,2 1234,
1606220914628912661,253 0,1390 0,1390 886,253 886,
1606220914695481661,0 7,1515 7,1515 1228,0 1228,
1606220914761505661,0 3,1524 3,1524 930,0 930,
1606220914828036661,27 4,1545 4,1545 1234,27 1234,
1606220914894150661,80 5,1608 5,1608 1197,80 1197,
1606220914960676661,207 0,1538 0,1538 1084,207 1084,
1606220915026743661,201 0,1501 0,1501 848,201 848,
1606220915093200661,152 0,1506 0,1506 1228,152 1228,
1606220915159580661,22 0,1533 0,1533 1237,22 1237,
1606220915225632661,28 0,1533 0,1533 1235,28 1235,
1606220915292014661,9 0,1492 0,1492 1215,9 1215,
1606220915358280661,3 0,1470 0,1470 1175,3 1175,
1606220915424793661,0 0,1460 0,1460 1044,0 1044,
1606220915490747661,0 0,1382 0,1382 955,0 955,
1606220915557214661,0 0,1276 0,1276 865,0 865,
1606220915623478661,0 0,1119 0,1119 814,0 814,
1606220916087851661,0 0,599 0,599 1231,0 1231,
1606220916353121661,3 0,1324 0,1324 1164,3 1164,
1606220916419140661,20 0,1375 0,1375 1227,20 1227,
1606220916485585661,5 3,1966 3,1966 1223,5 1223,
1606220916551851661,186 3,1112 3,1112 1002,186 1002,
1606220916617887661,18 0,934 0,934 1050,18 1050,
1606220916684372661,4 0,1390 0,1390 1152,4 1152,
1606220916750586661,0 0,1212 0,1212 932,0 932,
1606220916816996661,0 0,1098 0,1098 681,0 681,
1606220916883157661,0 0,1162 0,1162 550,0 550,
1606220916949436661,1 0,1016 0,1016 603,1 603,
1606220917016054661,15 3,925 3,925 446,15 446,
1606220917082197661,0 0,888 0,888 469,0 469,
1606220917148500661,0 77,888 77,888 498,0 498,
1606220917214810661,0 81,855 81,855 518,0 518,
1606220917281222661,0 107,843 107,843 552,0 552,
1606220917347604661,0 21,1746 21,1746 1238,0 1238,
1606220917413782661,148 108,1848 108,1848 1241,148 1241,
1606220917480017661,358 237,2113 237,2113 1241,358 1241,
1606220917546329661,679 311,2207 311,2207 1241,679 1241,
1606220917612718661,943 298,2207 298,2207 1241,943 1241,
1606220917678694661,2 0,2142 0,2142 1072,2 1072,
1606220917745199661,7 0,1464 0,1464 905,7 905,
1606220917811480661,3 0,1560 0,1560 863,3 863,
1606220917877812661,6 0,1669 0,1669 849,6 849,
1606220917944298661,2 0,1615 0,1615 839,2 839,
1606220918010370661,0 0,1479 0,1479 869,0 869,
1606220918076746661,0 0,1366 0,1366 838,0 838,
1606220918142994661,522 0,1379 0,1379 815,522 815,
1606220918209476661,395 0,1280 0,1280 1153,395 1153,
1606220918275790661,446 0,1198 0,1198 574,446 574,
1606220918342002661,404 0,1193 0,1193 481,404 481,
1606220918408275661,330 0,1163 0,1163 526,330 526,
1606220918474389661,298 0,1142 0,1142 412,298 412,
1606220918540996661,334 0,1152 0,1152 362,334 362,
1606220918607155661,452 0,1198 0,1198 306,452 306,
1606220918673395661,532 0,1236 0,1236 241,532 241,
