1606220905611911661,-0.55658 0.0573592 -0.307422,-0.525069 -0.231521 -0.760723,0.0102035 -0.173134 -0.760723,-0.0213071 0.115746 -0.307422,-0.514659 -0.326963 -0.0595868,-0.483148 -0.615843 -0.512887,0.0521247 -0.557456 -0.512887,0.0206141 -0.268576 -0.0595868,
1606220905678302661,-0.559665 0.0574274 -0.321549,-0.531097 -0.245303 -0.756569,-0.00268644 -0.195439 -0.756569,-0.031254 0.107292 -0.321549,-0.525048 -0.3094 -0.064001,-0.496481 -0.61213 -0.499021,0.0319297 -0.562266 -0.499021,0.00336212 -0.259535 -0.064001,
1606220905744528661,-0.559943 0.0535678 -0.330882,-0.532379 -0.250887 -0.757214,-0.00990936 -0.203585 -0.757214,-0.0374734 0.10087 -0.330882,-0.527507 -0.3047 -0.0729364,-0.499943 -0.609155 -0.499269,0.0225267 -0.561853 -0.499269,-0.0050374 -0.257398 -0.0729364,
1606220905811008661,-0.560771 0.0442356 -0.332189,-0.530892 -0.252734 -0.757617,-0.0138173 -0.20071 -0.757617,-0.0436961 0.0962597 -0.332189,-0.524823 -0.313054 -0.0802589,-0.494944 -0.610023 -0.505687,0.0221304 -0.557999 -0.505687,-0.00774837 -0.26103 -0.0802589,
1606220905877042661,-0.559328 0.0400635 -0.331644,-0.527634 -0.248197 -0.758138,-0.0149749 -0.19183 -0.758138,-0.0466694 0.0964308 -0.331644,-0.519743 -0.319964 -0.0853656,-0.488048 -0.608224 -0.51186,0.0246105 -0.551857 -0.51186,-0.00708407 -0.263596 -0.0853656,
1606220905943539661,-0.555638 0.0393932 -0.328907,-0.522901 -0.238174 -0.758607,-0.0138303 -0.178133 -0.758607,-0.0465674 0.0994344 -0.328907,-0.51272 -0.32449 -0.0905843,-0.479983 -0.602057 -0.520284,0.0290871 -0.542016 -0.520284,-0.00364995 -0.264449 -0.0905843,
1606220906009859661,-0.504982 0.0321649 -0.343789,-0.472352 -0.236126 -0.780644,0.0375897 -0.174104 -0.780644,0.00495905 0.0941862 -0.343789,-0.459546 -0.341411 -0.110968,-0.426916 -0.609701 -0.547822,0.0830256 -0.54768 -0.547822,0.050395 -0.279389 -0.110968,
1606220906076096661,-0.474512 0.0308965 -0.35781,-0.443508 -0.233114 -0.804334,0.0726053 -0.172504 -0.804334,0.0416015 0.0915059 -0.35781,-0.429852 -0.3494 -0.129857,-0.398848 -0.61341 -0.576381,0.117265 -0.552801 -0.576381,0.0862612 -0.28879 -0.129857,
1606220906142491661,-0.455817 0.042907 -0.368358,-0.428987 -0.220883 -0.826983,0.09805 -0.167278 -0.826983,0.0712198 0.0965121 -0.368358,-0.416391 -0.344725 -0.143095,-0.389561 -0.608515 -0.601719,0.137476 -0.55491 -0.601719,0.110646 -0.29112 -0.143095,
1606220906208647661,-0.444474 0.0617122 -0.37227,-0.422116 -0.197674 -0.845936,0.116388 -0.151259 -0.845936,0.0940306 0.108128 -0.37227,-0.410424 -0.333332 -0.154331,-0.388066 -0.592718 -0.627998,0.150438 -0.546303 -0.627998,0.128081 -0.286916 -0.154331,
1606220906274958661,-0.474711 0.0922763 -0.349608,-0.457353 -0.158013 -0.83532,0.0880198 -0.12019 -0.83532,0.0706618 0.130099 -0.349608,-0.44715 -0.305132 -0.143837,-0.429792 -0.555421 -0.629549,0.115581 -0.517598 -0.629549,0.0982228 -0.267309 -0.143837,
1606220906341193661,-0.459178 0.114043 -0.348419,-0.446843 -0.120295 -0.852756,0.108646 -0.0910556 -0.852756,0.0963109 0.143282 -0.348419,-0.437801 -0.292071 -0.159197,-0.425466 -0.526409 -0.663535,0.130022 -0.49717 -0.663535,0.117688 -0.262832 -0.159197,
